Length,Width,Price_Eur,N. views last 7d,Year Built,clusters,cluster,F1
-0.236527754,-0.208658367,-0.10499026,-0.260372785,0.187274003,0,Light pink,4454
-0.9385141,-0.901776398,-0.147552319,-0.260372785,0.8584933042005933,0,Light pink,4455
0.018588424631785776,0.2286661043753036,-0.116004126,-0.260372785,0.3703338123667771,0,Light pink,4456
-0.6884002,-0.868770777,-0.131163925,-0.260372785,0.9195132406798204,0,Light pink,4457
-0.354915,-0.167401342,-0.155019346,-0.260372785,-0.728025044,1,Pink,4458
-0.936846674,-0.868770777,-0.156246552,-0.260372785,0.9805331771590474,0,Light pink,4459
-0.384928668,-0.497457547,-0.158379509,-0.260372785,-0.483945298,0,Light pink,4460
0.001914165,0.1874090787428196,-0.135453307,-0.260372785,-0.056805743,0,Light pink,4461
-0.63837742,-0.794508131,-0.128302321,-0.260372785,0.9195132406798204,0,Light pink,4462
-0.820126854,-0.992541854,-0.14654427,-0.260372785,0.8584933042005933,0,Light pink,4463
-0.123142785,-0.05188167,-0.152405887,-0.260372785,-0.117825679,0,Light pink,4464
0.046934667,0.3689399915257485,-0.141952048,-0.260372785,-1.460264282,1,Pink,4465
0.3020508448603069,0.3854428017787417,-0.125151235,-0.260372785,0.06523413,2,Purple,4466
0.28037430684283193,0.41019701715823215,-0.127017992,-0.260372785,-0.361905425,2,Purple,4467
-0.403270354,-0.208658367,-0.147738994,-0.260372785,-0.117825679,0,Light pink,4468
-0.193174678,0.071889407,-0.141989383,-0.260372785,0.187274003,0,Light pink,4469
0.011918720626408651,-0.249915393,-0.128884749,-0.260372785,0.06523413,0,Light pink,4470
0.5388253370511894,0.9052813247480382,-0.086322691,-0.260372785,-0.178845616,2,Purple,4471
0.046934667,0.080140812,-0.155056681,-0.260372785,-0.544965235,1,Pink,4472
0.3787524409221422,0.7815102478505865,-0.022666279,-0.260372785,0.43135374884600414,2,Purple,4473
-0.486641654,-0.687239865,-0.164353131,-0.260372785,0.06523413,0,Light pink,4474
-0.728418424,-0.835765157,-0.165883872,-0.260372785,0.3703338123667771,0,Light pink,4475
-1.065238476,-1.075055906,-0.172268181,-0.260372785,0.6144135582836853,0,Light pink,4476
-0.950186082,-1.000793259,-0.162673423,-0.260372785,0.9195132406798204,0,Light pink,4477
0.5454950410565664,0.7815102478505865,-0.00269198,-0.260372785,0.4923736853252312,2,Purple,4478
-0.289885386,-0.101390101,-0.166219888,-0.260372785,-0.728025044,1,Pink,4479
-0.048108615,0.2369175095018002,-0.039280416,-0.260372785,0.8584933042005933,0,Light pink,4480
3.690260479591808,2.86086434,0.1753966326912464,-0.260372785,-1.033124727,2,Purple,4481
4.715727470418517,4.907212811098968,6.130351283252027,-0.260372785,0.9195132406798204,2,Purple,4482
1.134096419531084,1.070309427277973,0.2629811349780836,-0.260372785,0.7364534312421392,2,Purple,4483
-0.536664434,-0.670737054,-0.17088678,-0.260372785,0.9195132406798204,0,Light pink,4484
0.5805109870847954,0.8227672734830702,-0.102750152,-0.260372785,0.30931387588755005,2,Purple,4485
-0.226523198,-0.332429444,0.5170131533973977,-0.260372785,-1.582304155,1,Pink,4486
0.8806476673267593,0.8145158683565736,-0.069148527,-0.260372785,0.004214193,2,Purple,4487
-0.37992639,-0.027127455,-0.162486374,-0.260372785,-1.338224409,1,Pink,4488
0.4354449249678464,0.7650074375975934,-0.068028473,-0.260372785,0.3703338123667771,2,Purple,4489
0.5388253370511894,0.5752251196881675,-0.121417721,-0.260372785,-0.605985171,2,Purple,4490
1.5976408479047837,1.6066507605002627,0.11902057299001266,-0.260372785,0.187274003,2,Purple,4491
2.006160218234123,2.5143053244149063,1.7654441946687247,-0.260372785,0.9195132406798204,2,Purple,4492
-1.006878566,-0.835765157,-0.166778422,-0.260372785,0.8584933042005933,0,Light pink,4493
0.5471624670579107,0.9052813247480382,-0.128884749,-0.260372785,-0.789044981,2,Purple,4494
-0.926842118,-0.885273588,-0.174246943,-0.260372785,-0.361905425,0,Light pink,4495
0.1519825047393253,0.5504709043086771,-0.05645458,-0.260372785,0.4923736853252312,2,Purple,4496
-0.294887664,-0.456200521,-0.110044691,-0.260372785,0.9195132406798204,0,Light pink,4497
4.2154996700152445,3.3394458370645825,0.13806149381625715,-0.260372785,0.30931387588755005,2,Purple,4498
-1.287006134,-1.594894429,-0.1761137,-0.260372785,-1.826383901,1,Pink,4499
-0.031434355,0.3854428017787417,-0.160992969,-0.260372785,-1.460264282,1,Pink,4500
-0.94685123,-1.0668045,-0.165921207,-0.260372785,0.9195132406798204,0,Light pink,4501
-0.886823894,-0.835765157,-0.13862922,-0.260372785,0.9195132406798204,0,Light pink,4502
-0.733420702,-0.794508131,-0.160619617,-0.260372785,0.24829393940832303,0,Light pink,4503
1.3508617997058356,1.3673600118318565,0.3803665451149372,-0.260372785,0.6754334947629123,2,Purple,4504
0.735581605,0.7320018170916063,-0.085949339,-0.260372785,-0.178845616,2,Purple,4505
-0.870149634,-0.951284829,-0.169990737,-0.260372785,0.7974733677213663,0,Light pink,4506
0.33039708688315905,0.3606885863992519,0.016498281639292258,-0.260372785,0.9195132406798204,2,Purple,4507
3.1483470291549294,2.4317912731499387,0.45503682286491565,-0.260372785,0.24829393940832303,2,Purple,4508
0.5454950410565664,1.1115664529104572,-0.048614201,-0.260372785,0.30931387588755005,2,Purple,4509
2.227927876412907,1.9367069655601334,-7.85E-05,-0.260372785,-0.300885489,2,Purple,4510
-0.761766944,-0.860519372,-0.17081211,-0.260372785,-0.117825679,0,Light pink,4511
-1.095252144,-1.157569957,-0.172604197,-0.260372785,0.6144135582836853,0,Light pink,4512
0.30705312286433983,0.3606885863992519,-0.069148527,-0.260372785,0.30931387588755005,2,Purple,4513
0.23035152680250454,0.3689399915257485,-0.078519647,-0.260372785,0.004214193,2,Purple,4514
-0.116473081,0.3359343710197614,-0.162113023,-0.260372785,-0.97210479,1,Pink,4515
-0.19650953,-0.142647126,-0.155766049,-0.266821581,-0.056805743,0,Light pink,4516
-1.140272646,-1.256586818,-0.175563007,-0.266821581,0.6754334947629123,0,Light pink,4517
-0.153156454,-0.093138696,-0.149792427,-0.266821581,0.004214193,0,Light pink,4518
0.23868865680922585,0.24516891462829715,0.002161588,-0.266821581,0.24829393940832303,0,Light pink,4519
-0.186504974,-0.043630265,-0.155952725,-0.266821581,-0.361905425,0,Light pink,4520
0.7139050671923349,0.9052813247480382,-0.071015284,-0.266821581,0.24829393940832303,2,Purple,4521
-1.166951462,-1.240084008,-0.17522139,-0.266821581,0.9195132406798204,0,Light pink,4522
-0.78844576,-0.868770777,-0.16127564,-0.266821581,0.8584933042005933,0,Light pink,4523
-0.653384254,-0.753251106,-0.161926347,-0.266821581,0.30931387588755005,0,Light pink,4524
-0.19650953,-0.142647126,-0.155019346,-0.266821581,-0.178845616,0,Light pink,4525
-0.825129132,-0.835765157,-0.158644588,-0.266821581,0.9195132406798204,0,Light pink,4526
1.2891670376560986,1.3838628220848506,-0.084082582,-0.266821581,-0.605985171,2,Purple,4527
-1.036892234,-1.281341034,-0.138591885,-0.266821581,-2.863722821,1,Pink,4528
