Boat Type Main,Length,Width,Material,Boat Condition,Engine Type,Country,Price_Range_€,Price_Eur,N. views 7d grouped,N. views last 7d,Age Group,Year Built,F1
Cabin Boat,7,3,GRP,Used boat,Unknown,Germany,lower_50K,12000,Best (>1000),1101,1976-1990,1978,34
Sport Boat,6,2,Unknown,Used boat,Unknown,Switzerland,lower_50K,10464,Best (>1000),1057,1991-2000,1994,35
Cabin Boat,9,3,GRP,Used boat,Unknown,Switzerland,50K-150K,56640,Best (>1000),1054,1976-1990,1983,36
Cabin Boat,6,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,7679.04,Best (>1000),1049,1991-2000,1996,37
Motor Yacht,9,3,GRP,Used boat,Unknown,Germany,lower_50K,31680,Best (>1000),1033,1976-1990,1989,38
Water ski,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,18720,Best (>1000),1028,1991-2000,1998,39
Classic,10,3,GRP,Used boat,Unknown,Switzerland,lower_50K,17280,Best (>1000),1019,1976-1990,1980,40
Wakeboard/Wakesurf,7,3,GRP,Used boat,Unknown,Switzerland,50K-150K,66240,Best (>1000),1019,2011-2015,2012,41
Sport Boat,8,3,GRP,Used boat,Unknown,Germany,lower_50K,46000,Best (>1000),1019,2011-2015,2012,42
Wakeboard/Wakesurf,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,48000,Best (>1000),1017,2001-2010,2005,43
Cabin Boat,9,3,GRP,Used boat,Unknown,Germany,50K-150K,89900,Best (>1000),1014,2016-2020,2015,44
Mega Yacht,54,10,Unknown,new boat from stock,Unknown,United Arab Emirates,Higher_1M,31000000,Best (>1000),1009,Unknown,2020,45
Sport Boat,4,2,GRP,Used boat,Unknown,Switzerland,lower_50K,5040,Very High (171-1000),997,1976-1990,1975,46
Cabin Boat,13,4,Plastic,Used boat,Unknown,Bulgaria,50K-150K,100000,Very High (171-1000),991,2001-2010,2006,47
Motor Yacht,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,17280,Very High (171-1000),990,2001-2010,2000,48
Mega Yacht,41,8,Aluminium,Used boat,Unknown,France,Higher_1M,5900000,Very High (171-1000),986,2011-2015,2010,49
Hardtop,6,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,28320,Very High (171-1000),973,2001-2010,2002,50
Flybridge,15,4,GRP,Used boat,Unknown,Denmark,Higher_1M,6154500,Very High (171-1000),961,1991-2000,1996,51
Classic,6,2,GRP,Used boat,Unknown,Switzerland,50K-150K,56640,Very High (171-1000),920,2001-2010,2007,52
Motor Yacht,9,3,GRP,Used boat,Unknown,Switzerland,50K-150K,55680,Very High (171-1000),917,2001-2010,2006,53
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,75840,Very High (171-1000),917,1976-1990,1984,54
Sport Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,36480,Very High (171-1000),915,2001-2010,2004,55
Classic,16,5,GRP,Used boat,Unknown,Switzerland,300K-1M,912000,Very High (171-1000),912,2011-2015,2014,56
Wakeboard/Wakesurf,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,124608,Very High (171-1000),908,2016-2020,2019,57
Cabin Boat,13,3,Steel,Used boat,Unknown,Germany,lower_50K,10000,Very High (171-1000),900,1900-1975,1940,58
Wakeboard/Wakesurf,7,3,GRP,Used boat,Unknown,Switzerland,50K-150K,100800,Very High (171-1000),899,Unknown,2020,59
Motor Yacht,9,3,GRP,Used boat,Unknown,Switzerland,lower_50K,24864,Very High (171-1000),896,1991-2000,1992,60
Cabin Boat,11,4,Aluminium,Used boat,Unknown,Germany,50K-150K,58000,Very High (171-1000),892,1900-1975,1972,61
Fishing Boat,7,2,GRP,new boat on order,Unknown,Switzerland,lower_50K,24000,Very High (171-1000),888,Unknown,2020,62
Bowrider,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,14352,Very High (171-1000),888,1991-2000,1995,63
