Boat Type Main,Length,Width,Material,Boat Condition,Engine Type,Country,Price_Range_€,Price_Eur,N. views 7d grouped,N. views last 7d,Age Group,Year Built,F1
Flybridge,19,5,GRP,Used boat,Unknown,Italy,300K-1M,460000,Very High (171-1000),333,2001-2010,2007,687
Sport Boat,9,3,GRP,Used boat,Unknown,Germany,50K-150K,89000,Very High (171-1000),332,2001-2010,2004,688
Motor Yacht,18,5,Unknown,Used boat,Unknown,Switzerland,150K-300K,163200,Very High (171-1000),331,1976-1990,1977,689
Motor Yacht,33,6,GRP,Used boat,Unknown,France,Higher_1M,2750000,Very High (171-1000),331,2001-2010,2005,690
Bowrider,8,3,PVC,Used boat,Unknown,France,lower_50K,19000,Very High (171-1000),331,2001-2010,2004,691
Motor Yacht,7,3,Thermoplastic,Used boat,Unknown,Switzerland,lower_50K,17472,Very High (171-1000),331,1991-2000,1997,692
Flybridge,12,4,GRP,Used boat,Unknown,Switzerland,150K-300K,196800,Very High (171-1000),331,2011-2015,2010,693
Classic,11,3,GRP,Used boat,Unknown,Italy,50K-150K,65000,Very High (171-1000),331,1991-2000,1991,694
Motor Yacht,13,3,GRP,Used boat,Unknown,Switzerland,50K-150K,76800,Very High (171-1000),331,1991-2000,1999,695
Cabin Boat,6,2,GRP,Used boat,Unknown,Germany,lower_50K,4000,Very High (171-1000),330,2011-2015,2011,696
Motor Yacht,10,3,GRP,Used boat,Unknown,Germany,50K-150K,105000,Very High (171-1000),330,2001-2010,2006,697
Cabin Boat,10,3,Steel,Used boat,Unknown,Germany,lower_50K,29500,Very High (171-1000),330,1976-1990,1975,698
Bowrider,6,3,GRP,Display Model,Unknown,Switzerland,50K-150K,52800,Very High (171-1000),329,Unknown,2020,699
Motor Yacht,13,4,GRP,Used boat,Unknown,Germany,50K-150K,97000,Very High (171-1000),329,2001-2010,2002,700
Deck Boat,8,2,GRP,new boat from stock,Unknown,Switzerland,50K-150K,83520,Very High (171-1000),329,Unknown,2020,701
Sport Boat,11,3,GRP,Used boat,Unknown,Netherlands,50K-150K,61500,Very High (171-1000),329,2001-2010,2005,702
Cabin Boat,9,3,GRP,Used boat,Unknown,Italy,50K-150K,69000,Very High (171-1000),329,2001-2010,2005,703
Cabin Boat,8,2,GRP,Unknown,Unleaded,Germany,lower_50K,42990,Very High (171-1000),328,2016-2020,2016,704
Motor Yacht,11,3,GRP,new boat from stock,Unknown,Germany,50K-150K,99490,Very High (171-1000),328,Unknown,2020,705
Pontoon Boat,9,3,GRP,Used boat,Unknown,Italy,lower_50K,35000,Very High (171-1000),328,1991-2000,1996,706
Motor Yacht,8,2,GRP,new boat from stock,Unknown,Italy,50K-150K,114708,Very High (171-1000),328,2016-2020,2019,707
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,15264,Very High (171-1000),328,1991-2000,1992,708
Trawler,10,3,Steel,Used boat,Unknown,Switzerland,50K-150K,82080,Very High (171-1000),328,1976-1990,1986,709
Pilothouse,9,3,GRP,new boat from stock,Unknown,Switzerland,50K-150K,139200,Very High (171-1000),328,2016-2020,2019,710
Pilothouse,8,3,GRP,new boat from stock,Unknown,Switzerland,50K-150K,89481.59999999999,Very High (171-1000),327,Unknown,2020,711
Cabin Boat,7,2,GRP,Used boat,Unknown,Germany,lower_50K,12000,Very High (171-1000),327,1976-1990,1979,712
Sport Boat,10,3,GRP,new boat from stock,Unknown,Switzerland,300K-1M,370560,Very High (171-1000),327,2016-2020,2019,713
Fishing Boat,12,4,GRP,Used boat,Unknown,Italy,150K-300K,160000,Very High (171-1000),327,2001-2010,2007,714
Sport Boat,8,2,GRP,Used boat,Unknown,Switzerland,lower_50K,21600,Very High (171-1000),327,1991-2000,1991,715
Cabin Boat,12,3,GRP,Used boat,Unknown,Switzerland,50K-150K,71808,Very High (171-1000),327,2001-2010,2001,716
Cabin Boat,7,3,GRP,Used boat,Unknown,Germany,lower_50K,36900,Very High (171-1000),326,2001-2010,2005,717
Sport Boat,11,3,GRP,Used boat,Unknown,Switzerland,50K-150K,76704,Very High (171-1000),326,2001-2010,2004,718
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,72000,Very High (171-1000),326,1976-1990,1985,719
Deck Boat,7,3,Aluminium,Used boat,Unknown,Switzerland,lower_50K,36480,Very High (171-1000),325,2001-2010,2007,720
Motor Yacht,11,4,GRP,new boat from stock,Unknown,Poland,50K-150K,124712,Very High (171-1000),325,2016-2020,2019,721
Motor Yacht,14,3,GRP,Used boat,Unknown,Germany,50K-150K,59000,Very High (171-1000),325,1991-2000,1994,722
Wakeboard/Wakesurf,7,3,GRP,Used boat,Unknown,Switzerland,50K-150K,105504,Very High (171-1000),325,2016-2020,2017,723
Motor Yacht,12,3,GRP,new boat from stock,Unknown,Germany,300K-1M,429000,Very High (171-1000),325,2016-2020,2019,724
Mega Yacht,55,10,Steel,Used boat,Unknown,Greece,Higher_1M,14950000,Very High (171-1000),325,1991-2000,1998,725
Cabin Boat,9,3,GRP,new boat from stock,Unknown,Switzerland,150K-300K,179343.36,Very High (171-1000),325,Unknown,2021,726
Sport Boat,6,2,GRP,Used boat,Unknown,Germany,lower_50K,13900,Very High (171-1000),325,2001-2010,2001,727
Center console boat,6,2,GRP,new boat from stock,Unknown,Switzerland,lower_50K,18690,Very High (171-1000),324,Unknown,2020,728
Sport Boat,9,3,GRP,new boat from stock,Unknown,Switzerland,150K-300K,184611,Very High (171-1000),324,Unknown,2020,729
Hardtop,6,2,GRP,new boat from stock,Unknown,Switzerland,lower_50K,37920,Very High (171-1000),324,Unknown,2020,730
Motor Yacht,9,3,Plastic,Used boat,Unknown,Belgium,50K-150K,68500,Very High (171-1000),324,2001-2010,2000,731
Motor Yacht,10,3,GRP,Used boat,Unknown,Germany,lower_50K,30000,Very High (171-1000),324,1900-1975,1970,732
Sport Boat,5,2,GRP,Used boat,Unknown,Austria,lower_50K,6500,Very High (171-1000),324,1991-2000,1991,733
Flybridge,16,5,GRP,Used boat,Unknown,Italy,50K-150K,65000,Very High (171-1000),323,1991-2000,1992,734
Cabin Boat,13,4,GRP,new boat on order,Unknown,Switzerland,300K-1M,437270.4,Very High (171-1000),323,Unknown,2020,735
Motor Yacht,22,5,GRP,Used boat,Unknown,Spain,300K-1M,749000,Very High (171-1000),322,2001-2010,2004,736
Classic,11,3,Wood,Used boat,Unknown,Netherlands,50K-150K,78800,Very High (171-1000),322,1900-1975,1958,737
Sport Boat,9,3,GRP,Used boat,Unknown,Italy,lower_50K,40000,Very High (171-1000),321,2001-2010,2007,738
Cabin Boat,10,3,GRP,Used boat,Unknown,Switzerland,50K-150K,142800,Very High (171-1000),321,2011-2015,2010,739
Sport Boat,8,3,GRP,Used boat,Unknown,Germany,lower_50K,25900,Very High (171-1000),321,1976-1990,1987,740
Sport Boat,5,2,GRP,Used boat,Unknown,Switzerland,lower_50K,20640,Very High (171-1000),321,2001-2010,2006,741
Hardtop,3,1,GRP,Used boat,Unknown,Germany,lower_50K,8300,Very High (171-1000),321,2016-2020,2015,742
Cabin Boat,15,5,Wood,Used boat,Unknown,Denmark,Higher_1M,10444000,Very High (171-1000),320,1900-1975,1972,743
Pilothouse,8,3,Unknown,Used boat,Unknown,Switzerland,lower_50K,31680,Very High (171-1000),320,1991-2000,1992,744
Runabout,5,2,Wood,Used boat,Unknown,Switzerland,lower_50K,36480,Very High (171-1000),320,1991-2000,1992,745
Sport Boat,5,2,GRP,Used boat,Unknown,Switzerland,lower_50K,12288,Very High (171-1000),320,1976-1990,1983,746
Pilothouse,10,3,GRP,Used boat,Unknown,Switzerland,50K-150K,57504,Very High (171-1000),320,1991-2000,1998,747
Bowrider,9,2,GRP,Used boat,Unknown,Netherlands,lower_50K,47500,Very High (171-1000),320,2001-2010,2009,748
Hardtop,10,3,GRP,new boat from stock,Unknown,Switzerland,150K-300K,238360,Very High (171-1000),319,Unknown,2021,749
Trawler,8,3,Steel,Used boat,Unknown,Switzerland,lower_50K,21024,Very High (171-1000),319,1900-1975,1972,750
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,12960,Very High (171-1000),319,1976-1990,1989,751
Classic,29,5,Steel,Used boat,Unknown,Germany,150K-300K,229000,Very High (171-1000),319,1991-2000,1998,752
Pontoon Boat,6,2,Aluminium,Used boat,Unknown,Switzerland,lower_50K,32470.08,Very High (171-1000),318,Unknown,2020,753
Cabin Boat,10,3,GRP,Used boat,Unknown,Switzerland,50K-150K,59520,Very High (171-1000),318,1976-1990,1987,754
Motor Yacht,12,4,Steel,Used boat,Unknown,Netherlands,50K-150K,59000,Very High (171-1000),318,1976-1990,1976,755
Motor Yacht,13,4,Unknown,Used boat,Unknown,Croatia,300K-1M,401280,Very High (171-1000),317,2016-2020,2017,756
Motor Yacht,18,5,GRP,Used boat,Unknown,Italy,300K-1M,349000,Very High (171-1000),317,2001-2010,2006,757
Pontoon Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,19190.4,Very High (171-1000),317,1991-2000,1992,758
Motor Yacht,9,3,GRP,Used boat,Unknown,Croatia,50K-150K,98000,Very High (171-1000),317,2016-2020,2016,759
Classic,9,3,GRP,Used boat,Unknown,Italy,lower_50K,35000,Very High (171-1000),317,1976-1990,1987,760
Mega Yacht,35,7,GRP,Used boat,Unknown,Italy,Higher_1M,11900000,Very High (171-1000),317,2016-2020,2019,761
Cabin Boat,6,2,GRP,new boat from stock,Unknown,Germany,50K-150K,54106,Very High (171-1000),317,Unknown,2020,762
Cabin Boat,10,3,GRP,new boat on order,Unknown,Germany,300K-1M,390930,Very High (171-1000),316,Unknown,2021,763
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,69600,Very High (171-1000),316,2001-2010,2006,764
Cabin Boat,8,3,GRP,new boat from stock,Unknown,Germany,lower_50K,44999,Very High (171-1000),316,Unknown,2020,765
Wakeboard/Wakesurf,6,3,GRP,Used boat,Unknown,Switzerland,50K-150K,93024,Very High (171-1000),316,2016-2020,2018,766
Center console boat,5,2,GRP,Used boat,Unknown,Germany,lower_50K,20000,Very High (171-1000),316,2016-2020,2018,767
Motor Yacht,15,4,Steel,Used boat,Unknown,Netherlands,50K-150K,87500,Very High (171-1000),315,2001-2010,2008,768
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,79200,Very High (171-1000),315,1900-1975,1974,769
Wakeboard/Wakesurf,7,3,GRP,Used boat,Unknown,Switzerland,50K-150K,99744,Very High (171-1000),315,Unknown,2020,770
Sport Boat,13,3,Unknown,Used boat,Unknown,Italy,50K-150K,85000,Very High (171-1000),315,2001-2010,2002,771
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,31104,Very High (171-1000),315,2001-2010,2007,772
House Boat,10,6,GRP,Used boat,Unknown,Italy,50K-150K,127000,Very High (171-1000),314,Unknown,2020,773
Motor Yacht,11,4,GRP,Used boat,Unknown,Croatia,lower_50K,29000,Very High (171-1000),314,1976-1990,1979,774
Offshore Boat,10,3,GRP,Used boat,Unknown,Austria,50K-150K,120000,Very High (171-1000),314,1991-2000,1990,775
Motor Yacht,9,3,GRP,Used boat,Unknown,Germany,lower_50K,19900,Very High (171-1000),314,1976-1990,1976,776
Sport Boat,6,3,Carbon Fiber,Used boat,Unknown,Poland,lower_50K,46000,Very High (171-1000),314,2011-2015,2014,777
Sport Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,21600,Very High (171-1000),314,1991-2000,1990,778
Flybridge,18,6,GRP,Used boat,Unknown,Italy,150K-300K,295000,Very High (171-1000),314,1991-2000,1999,779
House Boat,12,3,Steel,Used boat,Unknown,France,lower_50K,50000,Very High (171-1000),314,1976-1990,1980,780
Sport Boat,9,3,GRP,Used boat,Unknown,Germany,lower_50K,32500,Very High (171-1000),314,1991-2000,1990,781
Hardtop,16,4,Unknown,Used boat,Unknown,Italy,150K-300K,220000,Very High (171-1000),313,2001-2010,2004,782
Classic,8,3,GRP,Used boat,Unknown,Netherlands,lower_50K,30000,Very High (171-1000),313,1976-1990,1978,783
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,17280,Very High (171-1000),313,1991-2000,1990,784
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,38304,Very High (171-1000),313,2001-2010,2000,785
Flybridge,16,5,GRP,Used boat,Unknown,Germany,300K-1M,375000,Very High (171-1000),312,2001-2010,2006,786
Motor Yacht,13,4,Unknown,Used boat,Unknown,Italy,300K-1M,390000,Very High (171-1000),312,2001-2010,2002,787
Cabin Boat,7,3,GRP,Used boat,Unknown,Germany,lower_50K,37392,Very High (171-1000),312,1976-1990,1988,788
Bowrider,7,3,GRP,new boat on order,Unknown,Switzerland,50K-150K,98081.28,Very High (171-1000),312,Unknown,2021,789
Motor Yacht,15,5,Steel,Used boat,Unknown,Germany,150K-300K,280000,Very High (171-1000),312,1991-2000,1998,790
Motor Yacht,11,3,GRP,Used boat,Unknown,Switzerland,lower_50K,46080,Very High (171-1000),312,1991-2000,1993,791
Pilothouse,10,3,GRP,Used boat,Unknown,Germany,lower_50K,40000,Very High (171-1000),311,1991-2000,1995,792
Sport Boat,7,3,GRP,Used boat,Unknown,Belgium,lower_50K,28000,Very High (171-1000),311,2001-2010,2008,793
Sport Boat,7,3,GRP,Display Model,Unknown,Switzerland,50K-150K,121440,Very High (171-1000),311,2016-2020,2019,794
Catamaran,16,7,Steel,new boat on order,Unknown,Russia,Higher_1M,1200000,Very High (171-1000),311,Unknown,2021,795
Trawler,7,3,GRP,Used boat,Unknown,Germany,lower_50K,15500,Very High (171-1000),311,1976-1990,1979,796
Mega Yacht,33,6,Unknown,Used boat,Unknown,Greece,300K-1M,499000,Very High (171-1000),311,1900-1975,1965,797
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,91200,Very High (171-1000),310,1900-1975,1971,798
Cabin Boat,7,3,GRP,Used boat,Unknown,Germany,lower_50K,26900,Very High (171-1000),310,2001-2010,2008,799
Flybridge,23,6,GRP,Used boat,Unknown,Croatia,300K-1M,629000,Very High (171-1000),310,2001-2010,2004,800
Cabin Boat,11,4,GRP,Used boat,Unknown,Spain,lower_50K,32590,Very High (171-1000),309,1976-1990,1988,801
Sport Boat,9,3,Unknown,Used boat,Unknown,Italy,50K-150K,89000,Very High (171-1000),309,2001-2010,2007,802
Pilothouse,10,3,GRP,new boat from stock,Unknown,Switzerland,150K-300K,278789,Very High (171-1000),309,Unknown,2020,803
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,37440,Very High (171-1000),309,1991-2000,1992,804
Trawler,8,3,Steel,Used boat,Unknown,Netherlands,lower_50K,14900,Very High (171-1000),309,2001-2010,2001,805
Classic,5,2,Wood,Used boat,Unknown,Germany,lower_50K,32000,Very High (171-1000),309,1900-1975,1958,806
Bowrider,7,3,GRP,new boat from stock,Unknown,Switzerland,50K-150K,67680,Very High (171-1000),308,Unknown,2020,807
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,43200,Very High (171-1000),308,1991-2000,1999,808
Pilothouse,7,2,GRP,new boat from stock,Unknown,Germany,lower_50K,27900,Very High (171-1000),308,2016-2020,2018,809
Motor Yacht,10,3,GRP,Used boat,Unknown,Germany,50K-150K,87000,Very High (171-1000),308,2001-2010,2002,810
Motor Yacht,10,3,GRP,Display Model,Unknown,Switzerland,150K-300K,202560,Very High (171-1000),307,Unknown,2021,811
Motor Yacht,13,4,GRP,Used boat,Unknown,Italy,50K-150K,58000,Very High (171-1000),307,1976-1990,1989,812
Motor Yacht,8,3,GRP,Used boat,Unknown,Germany,50K-150K,70000,Very High (171-1000),307,2001-2010,2004,813
Trawler,9,3,Steel,Used boat,Unknown,Switzerland,50K-150K,104640,Very High (171-1000),306,1991-2000,1996,814
Sport Boat,8,2,GRP,new boat from stock,Unknown,Austria,150K-300K,154644,Very High (171-1000),306,2016-2020,2019,815
Sport Boat,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,80500,Very High (171-1000),306,2016-2020,2016,816
Classic,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,32000,Very High (171-1000),306,1976-1990,1977,817
Sport Boat,9,3,GRP,Used boat,Unknown,Italy,lower_50K,25000,Very High (171-1000),306,1991-2000,1996,818
Motor Yacht,11,4,GRP,Used boat,Unknown,Netherlands,50K-150K,100000,Very High (171-1000),306,2011-2015,2012,819
Mega Yacht,48,10,Unknown,new boat from stock,Unknown,United Arab Emirates,Higher_1M,24050000,Very High (171-1000),304,Unknown,2020,820
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,38400,Very High (171-1000),304,1991-2000,1996,821
Cabin Boat,7,2,GRP,new boat from stock,Unknown,Germany,50K-150K,84950,Very High (171-1000),304,Unknown,2020,822
Trawler,45,7,Unknown,Used boat,Unknown,Spain,Higher_1M,6000000,Very High (171-1000),304,1900-1975,1974,823
Motor Yacht,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,28320,Very High (171-1000),304,2016-2020,2018,824
Cabin Boat,9,3,Steel,Used boat,Unknown,Netherlands,lower_50K,9500,Very High (171-1000),303,1976-1990,1975,825
Cabin Boat,9,3,PVC,Used boat,Unknown,France,lower_50K,26000,Very High (171-1000),303,2001-2010,2002,826
Bowrider,6,3,GRP,new boat on order,Unknown,Switzerland,50K-150K,78564.48,Very High (171-1000),303,Unknown,2021,827
Wakeboard/Wakesurf,7,3,Unknown,new boat from stock,Unknown,Switzerland,50K-150K,72000,Very High (171-1000),303,2016-2020,2019,828
Motor Yacht,8,2,Wood,Used boat,Unknown,Germany,150K-300K,160000,Very High (171-1000),303,2011-2015,2014,829
Cabin Boat,8,2,GRP,Used boat,Unknown,Germany,lower_50K,30000,Very High (171-1000),303,2001-2010,2001,830
Motor Yacht,14,4,Steel,Used boat,Unknown,Germany,150K-300K,195000,Very High (171-1000),302,2011-2015,2010,831
Offshore Boat,8,3,Plastic,Used boat,Unknown,Estonia,lower_50K,38000,Very High (171-1000),302,2001-2010,2000,832
Cabin Boat,12,4,GRP,Used boat,Unknown,Italy,50K-150K,59000,Very High (171-1000),302,1991-2000,1999,833
Cabin Boat,13,4,GRP,Used boat,Unknown,Netherlands,150K-300K,155000,Very High (171-1000),302,1991-2000,1998,834
Center console boat,8,3,GRP,new boat from stock,Unknown,Switzerland,lower_50K,34900,Very High (171-1000),301,Unknown,2020,835
Motor Yacht,14,4,GRP,Used boat,Unknown,Germany,300K-1M,430000,Very High (171-1000),301,2016-2020,2017,836
Sport Boat,8,2,GRP,new boat from stock,Unknown,Switzerland,150K-300K,161511.36,Very High (171-1000),301,2016-2020,2019,837
Sport Boat,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,56640,Very High (171-1000),301,1991-2000,1996,838
Motor Yacht,9,3,GRP,Used boat,Unknown,Germany,lower_50K,49900,Very High (171-1000),301,2001-2010,2006,839
Bowrider,6,2,GRP,new boat from stock,Unknown,Switzerland,lower_50K,40579.2,Very High (171-1000),300,Unknown,2020,840
Center console boat,5,2,GRP,new boat on order,Unknown,Switzerland,lower_50K,19190.4,Very High (171-1000),300,Unknown,2020,841
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,60000,Very High (171-1000),300,1900-1975,1972,842
Motor Yacht,11,4,GRP,Used boat,Unknown,Croatia,50K-150K,63999,Very High (171-1000),299,2001-2010,2002,843
Cabin Boat,8,3,GRP,new boat from stock,Unknown,Switzerland,50K-150K,73190.4,Very High (171-1000),299,Unknown,2020,844
Cabin Boat,9,3,GRP,Used boat,Unknown,Italy,50K-150K,90000,Very High (171-1000),298,2016-2020,2017,845
Cabin Boat,9,3,GRP,Used boat,Unknown,Germany,lower_50K,24500,Very High (171-1000),298,1976-1990,1988,846
Launch,7,2,Unknown,Used boat,Unknown,Spain,lower_50K,37000,Very High (171-1000),298,2011-2015,2010,847
Wakeboard/Wakesurf,7,3,Plastic,Used boat,Unknown,Portugal,50K-150K,143550,Very High (171-1000),298,Unknown,2020,848
Motor Yacht,7,3,GRP,Used boat,Unknown,Switzerland,50K-150K,60000,Very High (171-1000),298,2011-2015,2013,849
Sport Boat,10,3,GRP,Used boat,Unknown,Switzerland,150K-300K,152640,Very High (171-1000),297,2011-2015,2012,850
Classic,7,2,Wood,Used boat,Unknown,Switzerland,50K-150K,85440,Very High (171-1000),297,1976-1990,1989,851
Sport Boat,7,3,Unknown,Used boat,Unknown,France,lower_50K,22000,Very High (171-1000),297,2001-2010,2004,852
Flybridge,10,3,GRP,Used boat,Unknown,Switzerland,50K-150K,62400,Very High (171-1000),297,1991-2000,1994,853
Trawler,11,4,Steel,Used boat,Unknown,Netherlands,lower_50K,49500,Very High (171-1000),297,1991-2000,1993,854
Working Boat,8,3,Unknown,Used boat,Unknown,Italy,lower_50K,25000,Very High (171-1000),296,1991-2000,1996,855
Mega Yacht,31,7,GRP,Used boat,Unknown,Netherlands,Higher_1M,5600000,Very High (171-1000),296,2011-2015,2012,856
Bowrider,7,2,GRP,new boat from stock,Unknown,Switzerland,50K-150K,55862.4,Very High (171-1000),296,Unknown,2020,857
Motor Yacht,9,3,GRP,Used boat,Unknown,Spain,lower_50K,40000,Very High (171-1000),296,2001-2010,2000,858
House Boat,9,4,Unknown,Used boat,Unknown,Netherlands,50K-150K,62800,Very High (171-1000),296,Unknown,2020,859
Motor Yacht,9,3,Unknown,new boat from stock,Unknown,Italy,50K-150K,89900,Very High (171-1000),296,2016-2020,2018,860
Sport Boat,6,3,GRP,new boat from stock,Unknown,Germany,lower_50K,11800,Very High (171-1000),296,Unknown,2020,861
Sport Boat,9,2,GRP,Used boat,Unknown,Croatia,lower_50K,31900,Very High (171-1000),295,2001-2010,2000,862
Pilothouse,10,3,GRP,Used boat,Unknown,Switzerland,150K-300K,224000,Very High (171-1000),295,2016-2020,2017,863
Pontoon Boat,8,3,GRP,Display Model,Unknown,Italy,lower_50K,34800,Very High (171-1000),295,Unknown,2020,864
Classic,5,2,GRP,Used boat,Unknown,Switzerland,50K-150K,52608,Very High (171-1000),295,1900-1975,1974,865
Motor Yacht,9,3,GRP,Unknown,Unleaded,Germany,lower_50K,24990,Very High (171-1000),295,1991-2000,1997,866
Cabin Boat,5,2,GRP,new boat from stock,Unknown,Germany,lower_50K,11699,Very High (171-1000),295,Unknown,2020,867
Cabin Boat,9,3,GRP,Used boat,Unknown,Germany,lower_50K,49800,Very High (171-1000),294,2001-2010,2002,868
Motor Yacht,10,3,GRP,Used boat,Unknown,Spain,lower_50K,45000,Very High (171-1000),294,2001-2010,2001,869
Classic,6,2,Wood,Used boat,Unknown,Belgium,50K-150K,77582,Very High (171-1000),294,1900-1975,1959,870
Sport Boat,7,3,GRP,new boat from stock,Unknown,Switzerland,50K-150K,65710.08,Very High (171-1000),294,Unknown,2020,871
Cabin Boat,11,3,GRP,Used boat,Unknown,Italy,lower_50K,29000,Very High (171-1000),294,1991-2000,1993,872
Cabin Boat,9,3,GRP,Used boat,Unknown,Germany,lower_50K,29900,Very High (171-1000),294,1991-2000,1993,873
Cabin Boat,7,3,GRP,Used boat,Unknown,United Kingdom,lower_50K,21750,Very High (171-1000),294,2001-2010,2008,874
Motor Yacht,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,37440,Very High (171-1000),294,2001-2010,2005,875
Cabin Boat,7,2,GRP,Used boat,Unknown,Germany,lower_50K,27900,Very High (171-1000),294,2001-2010,2007,876
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,65760,Very High (171-1000),293,2001-2010,2005,877
Sport Boat,7,2,GRP,Used boat,Unknown,Germany,lower_50K,18000,Very High (171-1000),293,1976-1990,1982,878
Sport Boat,9,3,GRP,Used boat,Unknown,Switzerland,lower_50K,40800,Very High (171-1000),293,2001-2010,2005,879
Sport Boat,8,2,Unknown,Used boat,Unknown,Italy,lower_50K,18000,Very High (171-1000),293,1976-1990,1986,880
Motor Yacht,13,4,GRP,Used boat,Unknown,Germany,150K-300K,159500,Very High (171-1000),293,2001-2010,2003,881
Cabin Boat,10,3,Steel,Used boat,Unknown,Germany,lower_50K,6900,Very High (171-1000),293,1976-1990,1979,882
Flybridge,16,4,GRP,Used boat,Unknown,Netherlands,Higher_1M,1017600,Very High (171-1000),292,Unknown,2020,883
Fishing Boat,6,2,GRP,new boat on order,Unknown,Switzerland,lower_50K,14976,Very High (171-1000),292,Unknown,2020,884
Sport Boat,6,1,Wood,Used boat,Unknown,Germany,lower_50K,14599,Very High (171-1000),292,1900-1975,1950,885
Cabin Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,43200,Very High (171-1000),292,2011-2015,2013,886
Bowrider,7,3,GRP,Used boat,Unknown,Germany,lower_50K,32900,Very High (171-1000),292,2001-2010,2005,887
Wakeboard/Wakesurf,7,3,GRP,new boat on order,Unknown,Switzerland,50K-150K,105600,Very High (171-1000),292,Unknown,2021,888
Hardtop,14,4,Unknown,Used boat,Unknown,Italy,150K-300K,155000,Very High (171-1000),291,2001-2010,2007,889
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,22560,Very High (171-1000),291,2001-2010,2008,890
Motor Yacht,13,4,GRP,Used boat,Unknown,Germany,50K-150K,124900,Very High (171-1000),291,1991-2000,1994,891
Trawler,10,3,Steel,Used boat,Unknown,Netherlands,lower_50K,20500,Very High (171-1000),291,1900-1975,1973,892
House Boat,13,4,Wood,new boat from stock,Unknown,Poland,lower_50K,31800,Very High (171-1000),290,Unknown,2020,893
Pilothouse,12,3,GRP,new boat from stock,Unknown,Switzerland,150K-300K,236160,Very High (171-1000),290,2016-2020,2017,894
Flybridge,10,3,GRP,Used boat,Unknown,Denmark,Higher_1M,4662500,Very High (171-1000),290,2001-2010,2000,895
Sport Boat,6,2,GRP,new boat from stock,Unknown,Switzerland,50K-150K,69984,Very High (171-1000),290,Unknown,2020,896
Runabout,8,2,GRP,Used boat,Unknown,Switzerland,50K-150K,96500,Very High (171-1000),290,2016-2020,2016,897
Cabin Boat,8,2,GRP,Used boat,Unknown,Germany,lower_50K,6500,Very High (171-1000),289,1900-1975,1968,898
Cabin Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,28800,Very High (171-1000),289,2001-2010,2006,899
Sport Boat,5,2,GRP,new boat on order,Unknown,Switzerland,lower_50K,11136,Very High (171-1000),289,Unknown,2020,900
Cabin Boat,12,4,GRP,Used boat,Unknown,Germany,50K-150K,135000,Very High (171-1000),289,2001-2010,2009,901
Hardtop,13,4,GRP,Used boat,Unknown,Germany,150K-300K,172000,Very High (171-1000),289,2001-2010,2006,902
Mega Yacht,100,3,Steel,Used boat,Unknown,Netherlands,lower_50K,14500,Very High (171-1000),289,1976-1990,1978,903
Trawler,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,43200,Very High (171-1000),289,1991-2000,1993,904
Sport Boat,6,2,GRP,new boat from stock,Unknown,Switzerland,lower_50K,20448,Very High (171-1000),289,Unknown,2020,905
Motor Yacht,10,4,GRP,Used boat,Unknown,Germany,lower_50K,39500,Very High (171-1000),288,1991-2000,1990,906
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,30720,Very High (171-1000),288,2016-2020,2018,907
Fishing Boat,6,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,4752,Very High (171-1000),288,1976-1990,1984,908
Classic,5,2,GRP,Used boat,Unknown,France,lower_50K,9000,Very High (171-1000),288,1900-1975,1973,909
Center console boat,5,2,GRP,new boat from stock,Unknown,Italy,lower_50K,8300,Very High (171-1000),288,Unknown,2020,910
Motor Yacht,10,3,GRP,Used boat,Unknown,Croatia,50K-150K,89000,Very High (171-1000),288,2001-2010,2005,911
