Year Built,Price_Eur,Length,Width,N. views last 7d
2000,4600000.0,49.8,11.41,203
2020,16060634.0,13.29,3.99,203
2020,14304.0,5.2,2.06,203
2018,204900.0,11.65,3.99,203
1991,64990.0,17.0,4.57,203
2007,119000.0,11.8,3.84,203
2017,186720.0,8.6,2.59,203
2019,29000.0,6.7,2.55,203
2016,59500.0,7.52,2.28,202
2020,239896.0,9.95,3.35,202
1988,79900.0,10.2,3.2,202
2020,130000.0,12.0,4.1,202
2019,309350.0,9.97,3.0,202
2003,35000.0,8.0,2.0,202
1985,19000.0,10.06,3.03,202
2020,32110.0,4.93,2.22,202
2019,199900.0,9.5,2.5,202
1996,3792.0,4.84,1.58,202
2020,46944.0,5.75,2.54,202
2020,47969.28,5.7,2.3,201
2020,33000.0,7.4,2.55,201
1987,249900.0,16.05,4.8,201
2008,310000.0,13.42,4.18,201
1996,238000.0,17.05,4.65,201
2020,130000.0,9.4,2.95,201
2004,87500.0,11.0,3.45,201
1997,25500.0,8.9,2.55,201
2018,78500.0,9.0,3.0,201
2012,58000.0,7.41,2.55,201
1992,16800.0,6.19,2.4,201
2020,19160.0,5.75,2.34,201
2009,28790.4,6.65,2.8,201
1996,7500.0,4.5,1.7,201
1991,94560.0,9.4,3.4,200
2020,40320.0,5.6,2.54,200
1994,26500.0,7.95,2.79,200
2019,12960.0,4.26,1.76,200
2008,33000.0,7.32,2.55,200
2020,105000.0,8.25,2.6,200
1980,28500.0,11.0,3.85,200
1985,7640.0,4.5,2.1,200
2019,120000.0,8.4,2.55,200
2015,39900.0,7.03,2.54,200
1992,22000.0,9.5,3.4,200
2020,729000.0,13.9,4.4,200
2020,22320.0,4.54,1.85,200
2020,246470.4,9.8,3.0,200
2020,98000.0,12.56,4.0,200
2019,219000.0,11.95,4.21,200
2012,2650000.0,26.4,6.2,200
2005,479000.0,21.17,5.07,200
2020,42300.0,7.0,2.5,200
2007,48000.0,8.5,3.1,200
2017,140064.0,8.4,2.5,200
2000,76800.0,10.2,3.48,200
2020,190000.0,8.05,3.05,199
1980,220000.0,27.0,6.68,199
2018,101533.35,8.9,2.84,199
2016,95000.0,8.95,2.99,199
2019,91494.72,6.58,2.55,199
1977,140000.0,14.83,4.46,199
1991,89000.0,13.1,3.3,199
1975,28000.0,12.86,3.2,199
2013,21000.0,9.0,1.6,199
2013,294930.0,12.9,3.87,199
1996,35000.0,9.69,3.07,199
1978,17500.0,8.5,3.25,199
1992,29900.0,9.9,3.6,199
2008,24990.0,6.7,2.52,199
2020,23904.0,5.06,2.13,199
1961,24900.0,7.25,2.25,199
1994,72000.0,11.0,3.7,199
1987,29000.0,8.77,3.18,199
2012,38304.0,6.8,2.59,199
2016,495000.0,15.0,3.78,199
2020,459209.0,14.95,7.0,199
1977,19500.0,11.6,3.42,198
1976,94800.0,12.9,3.8,198
2018,27552.0,5.3,2.2,198
2003,2500000.0,32.0,6.3,198
1984,14900.0,7.9,2.5,198
2020,120089.28,6.73,2.57,198
2016,35000.0,5.95,2.28,198
2020,24912.0,5.3,2.0,198
2000,32000.0,7.8,2.95,198
2001,269500.0,17.15,4.48,198
2020,59520.0,6.19,2.48,198
2020,60580.0,6.82,2.45,198
2019,404592.0,11.95,3.85,198
2020,219000.0,10.9,3.6,197
2011,44928.0,6.5,2.59,197
2004,43000.0,9.76,3.16,197
1967,3600000.0,44.2,7.0,197
2004,39000.0,8.95,2.8,197
2020,19999.0,6.12,2.4,197
2018,89280.0,7.6,2.53,197
1978,22500.0,11.5,3.1,197
2007,275000.0,14.93,4.36,197
1980,34500.0,12.5,3.4,197
2009,42000.0,8.23,2.59,197
2017,11000000.0,35.36,7.35,197
2001,82000.0,12.5,3.9,197
2009,97900.0,10.0,3.0,197
1993,9999.0,5.0,1.9,197
1991,25000.0,9.81,3.41,197
2020,53664.0,5.64,2.16,196
2005,29000.0,7.05,2.47,196
2021,102617.28,7.3,2.6,196
2007,85000.0,10.85,3.68,196
2014,2250000.0,24.9,6.09,196
2016,149000.0,10.8,3.35,196
2019,32784.0,5.15,2.08,196
2018,197500.0,11.65,3.99,196
1994,89000.0,11.3,3.7,196
1991,69000.0,16.07,4.5,196
2007,275000.0,14.95,4.3,196
2008,1950000.0,48.5,8.0,195
1993,69000.0,10.98,3.66,195
2018,13200.0,6.2,2.18,195
2008,25900.0,7.14,2.57,195
2010,125000.0,8.68,2.9,195
2010,16001700.0,13.56,4.0,195
2019,52203.0,6.1,2.25,195
2020,219000.0,11.0,3.5,195
2003,349000.0,17.51,4.75,195
2018,49824.0,6.08,2.35,195
2010,64000.0,10.4,3.45,194
2020,50784.0,6.05,2.38,194
1961,72000.0,6.1,2.1,194
1998,110000.0,16.91,4.92,194
2008,400000.0,20.65,5.14,194
1978,24495.0,9.8,3.2,194
2020,6950.0,4.6,2.0,194
1996,37500.0,10.39,3.02,194
1997,128000.0,13.6,4.45,194
2008,870000.0,20.4,5.5,194
2020,144714.0,7.9,2.5,194
1994,12000.0,5.8,2.23,194
2011,159000.0,11.8,3.99,194
1958,55000.0,12.0,3.6,194
2019,3628.8,3.6,1.6,194
2010,29000.0,7.0,2.55,194
2020,51763.2,5.99,2.21,194
2020,38678.4,6.74,2.55,194
2005,49000.0,9.17,3.2,194
1986,11900.0,6.15,2.46,193
2017,124704.0,8.8,2.8,193
1983,17990.0,8.5,2.55,193
2019,235000.0,10.8,3.59,193
2019,88658.0,7.67,2.43,193
1995,23900.0,7.7,2.59,193
2015,5214540.0,12.0,3.4,193
2005,150000.0,11.4,3.9,193
2004,289000.0,16.7,4.7,193
2019,98900.0,6.8,2.59,193
2021,131907.84,7.4,2.5,193
2020,1053600.0,15.82,4.67,193
2014,72000.0,9.3,2.59,193
1990,80000.0,14.51,4.35,193
2016,490000.0,13.46,3.9,193
2011,152000.0,11.8,3.99,193
2020,10200.0,5.7,2.1,193
2004,40000.0,7.48,2.8,193
2005,119000.0,11.95,3.99,193
2018,69900.0,6.02,2.52,192
1980,9990.0,7.6,2.65,192
1986,55000.0,11.6,3.96,192
2021,106900.0,8.15,2.55,192
2021,586000.0,17.8,5.14,192
2008,1575000.0,26.48,6.5,192
2016,49526.4,6.25,2.3,192
2007,65000.0,8.7,2.49,192
2019,118000.0,9.0,2.95,192
2018,66720.0,6.94,2.57,192
1979,42500.0,12.5,3.5,192
2020,63755.52,5.79,2.41,192
2012,20700.0,6.9,2.3,192
2010,17500.0,5.4,2.4,192
2020,425000.0,13.7,3.64,192
1992,60000.0,9.9,3.2,192
2012,8160.0,4.37,1.8,192
2017,24550.0,6.06,2.2,192
1994,110000.0,12.62,3.9,192
1997,3953800.0,11.15,3.35,192
1996,39000.0,9.25,3.2,192
1994,85000.0,11.46,3.57,191
2016,89500.0,8.39,2.59,191
1990,28950.0,10.3,3.25,191
2005,25000.0,7.65,2.55,191
2018,106000.0,8.5,3.0,191
2019,92102.4,6.99,2.72,191
2016,830000.0,16.66,4.75,191
2008,134400.0,10.6,3.53,191
1988,45500.0,10.0,3.45,191
2019,73315.2,6.95,2.48,191
2020,28320.0,4.6,1.85,191
2021,248700.0,7.57,2.25,191
2020,125000.0,7.89,2.54,191
2020,460000.0,1.7,3.64,191
2010,165000.0,11.37,3.85,190
2008,35000.0,7.25,2.57,190
1994,49000.0,10.0,3.0,190
1991,17000.0,8.18,2.94,190
2019,61107.0,6.8,2.54,190
1979,22000.0,9.5,3.2,190
1994,220000.0,17.99,4.57,190
2002,22000.0,7.55,2.05,190
1997,30000.0,9.0,2.0,190
2018,161000.0,8.46,2.55,190
2014,28790.4,6.4,2.38,190
2019,200000.0,11.0,3.35,190
2020,67341.12,8.25,2.59,190
2008,599000.0,20.33,5.08,190
2008,32000.0,7.92,2.59,190
2020,64855.68,8.5,2.8,190
2013,124900.0,9.99,3.49,190
2008,178000.0,10.56,3.46,190
2019,54634.0,6.0,2.39,190
1987,4990.0,6.5,2.5,190
1989,21000.0,9.23,3.18,190
1999,68600.0,8.86,3.0,190
2001,25000.0,7.5,2.5,189
2008,439000.0,17.6,4.63,189
2020,25440.0,5.7,2.15,189
2000,13900.0,5.3,2.05,189
1996,79900.0,14.63,3.25,189
1992,135000.0,15.52,4.73,189
1978,79900.0,13.5,4.25,189
2000,14000.0,6.72,2.5,189
1986,195000.0,7.35,2.4,189
1986,16000.0,7.6,2.7,189
1981,7500.0,6.4,2.54,189
1991,120000.0,15.85,4.54,189
2002,149000.0,14.1,4.2,189
1973,21000.0,9.6,2.85,189
2020,29462.4,5.23,2.17,189
1997,399000.0,17.4,4.7,188
1999,160000.0,14.91,4.4,188
1977,5953080.0,6.55,2.25,188
1994,190000.0,12.8,4.11,188
2009,119000.0,11.0,3.0,188
2002,105600.0,11.5,3.98,188
2012,59900.0,7.25,2.57,188
2010,140000.0,10.8,3.59,188
1996,18000.0,6.1,2.3,188
1962,4790.0,4.1,1.5,188
1991,15000.0,7.3,2.49,188
2014,525000.0,14.99,4.32,188
1988,12000.0,6.16,2.49,188
2008,32000.0,7.8,2.55,188
2017,179500.0,9.99,3.49,188
2001,3349540.0,9.0,2.9,188
2020,74580.0,8.48,2.75,188
1990,11490.0,8.0,2.6,188
2003,44900.0,8.48,2.77,187
2017,211800.0,11.5,3.64,187
2020,110400.0,7.4,2.5,187
1990,24960.0,7.55,2.51,187
2005,58500.0,9.78,3.1,187
2002,195840.0,9.8,3.0,187
2003,895000.0,28.27,6.6,187
1968,350400.0,9.6,3.5,187
2019,59900.0,6.69,2.54,187
2017,134304.0,8.8,2.8,187
2020,56544.0,6.74,2.55,187
2013,62000.0,10.0,4.0,187
2020,57120.0,6.35,2.43,187
2002,33000.0,8.5,3.0,187
2002,79000.0,10.4,3.45,187
1989,91800.0,14.0,4.7,187
2003,58000.0,9.75,3.0,187
2002,139000.0,12.19,3.81,187
1991,25900.0,6.77,2.28,187
1964,3500000.0,30.0,7.7,187
2003,145900.0,11.04,3.5,187
2005,54000.0,9.47,2.87,187
2009,36250.0,6.6,2.3,187
2005,54500.0,9.78,3.1,187
1995,39000.0,9.22,3.36,187
2002,20000.0,7.7,2.57,186
1998,149000.0,16.8,4.27,186
2008,225000.0,12.96,4.15,186
2018,57500.0,7.52,2.28,186
1978,10000.0,7.8,2.45,186
1978,19500.0,9.6,3.3,186
2007,270000.0,15.8,4.5,186
1998,14500.0,3.0,2.0,186
1979,22500.0,9.85,3.18,186
2016,229000.0,11.47,3.62,186
2019,51744.0,6.6,2.48,186
2002,75000.0,8.17,2.6,186
2015,18900.0,6.7,2.49,186
2007,69000.0,9.01,2.99,186
2007,89900.0,12.0,3.0,186
1924,39500.0,22.0,3.1,186
2018,5500.0,5.2,2.2,186
2014,29760.0,5.6,2.44,186
2015,135000.0,9.88,2.95,186
1999,135000.0,13.29,4.15,186
2020,19296.0,6.4,2.25,185
1997,9490.0,5.5,2.15,185
2017,97000.0,9.32,3.05,185
1960,17500.0,5.0,2.1,185
2009,49500.0,7.65,2.59,185
2006,140000.0,12.9,3.85,185
1981,14500.0,8.0,2.74,185
1987,38000.0,11.53,2.67,185
2018,990000.0,16.51,4.37,185
1997,54500.0,11.0,3.5,185
1992,9599.0,5.65,2.2,185
2007,15500.0,6.12,2.31,185
1995,20000.0,7.0,2.0,185
2020,18499.0,5.2,2.22,185
2017,235000.0,11.47,3.62,185
2021,123468.0,8.42,2.64,185
2003,269000.0,15.79,4.5,185
2002,219000.0,14.0,4.0,185
2007,148800.0,9.45,2.9,185
2003,219000.0,15.7,4.22,185
1979,10000.0,7.25,2.37,185
2007,735000.0,23.44,5.03,185
1996,15500.0,7.85,2.59,184
1982,17500.0,9.8,2.85,184
2007,249000.0,12.5,3.9,184
1999,48000.0,9.41,2.99,184
2017,69000.0,6.71,2.54,184
2014,83000.0,9.0,2.98,184
1975,6500.0,6.67,2.04,184
1996,280000.0,14.35,4.5,184
1997,580000.0,23.9,6.0,184
1979,21500.0,10.5,3.1,184
2019,9500.0,5.7,2.1,184
1996,78000.0,11.68,3.8,184
2013,59500.0,7.25,2.53,184
1991,30000.0,11.6,3.51,184
2014,32000.0,5.75,2.39,184
2020,104982.0,10.6,3.0,184
2007,38000.0,6.5,1.8,184
2010,99000.0,10.4,3.45,184
2002,475000.0,20.27,5.21,183
2020,30268.8,6.12,2.4,183
2001,48000.0,9.54,2.96,183
2018,41088.0,6.5,2.43,183
2010,64000.0,10.0,3.0,183
2002,75000.0,8.75,2.4,183
2015,4600000.0,26.0,6.65,183
2010,6500.0,5.0,2.15,183
1990,38000.0,11.19,3.5,183
2018,20112.0,4.99,1.97,183
1995,84900.0,13.0,4.0,183
1992,34990.0,9.06,2.99,183
2013,104000.0,10.22,3.35,183
1980,9750.0,8.5,3.0,183
2011,245000.0,12.26,3.9,183
2019,18200.0,6.0,2.38,183
1979,50000.0,13.63,4.47,183
2004,55000.0,7.7,2.7,183
2020,281760.0,8.13,2.59,183
2018,81600.0,7.7,2.54,183
2019,31008.0,5.3,2.2,183
2008,695130.0,24.99,5.52,182
2016,549000.0,13.28,4.18,182
1982,25000.0,9.4,3.1,182
1975,10000.0,12.0,3.0,182
2011,228000.0,13.7,3.99,182
1900,15000.0,16.0,4.05,182
2006,10560.0,6.0,1.6,182
2009,115000.0,9.1,3.3,182
2017,45000.0,9.9,2.6,182
2020,13200.0,5.1,2.1,182
2016,42000.0,7.2,2.5,182
1997,28000.0,9.4,3.5,182
2016,750000.0,14.6,4.06,182
2008,74500.0,9.6,2.99,182
2006,135000.0,13.66,4.07,181
2017,42230.4,5.5,2.24,181
2007,42000.0,8.35,2.98,181
2017,59900.0,7.0,2.9,181
2019,99990.0,8.74,2.8,181
2019,190895.04,9.15,2.75,181
2017,795000.0,17.6,4.0,181
2020,1350000.0,16.9,4.9,181
2001,190000.0,16.02,4.67,181
2020,29500.0,6.1,2.4,181
1986,23000.0,8.68,3.21,181
1999,110000.0,13.11,4.2,181
2004,98500.0,11.0,3.0,181
2018,46137.6,6.9,2.59,181
2011,79900.0,7.85,2.7,181
2000,15900.0,7.15,2.54,181
1986,25000.0,6.4,2.2,181
2005,285000.0,15.37,4.47,181
2020,155000.0,15.0,4.5,181
2014,3356962.7,7.39,2.79,181
1975,55000.0,12.5,3.6,180
2020,12770.0,4.9,1.9,180
2014,5215650.0,34.53,7.41,180
2020,25154374.0,12.65,3.99,180
2020,525000.0,13.85,4.2,180
2020,44490.0,6.05,2.2,180
2020,195000.0,15.0,4.5,180
2019,17184.0,5.4,2.38,180
2005,879000.0,27.0,6.05,180
2013,47808.0,7.9,2.86,180
2020,210000.0,9.15,3.1,180
2019,58035.84,5.49,2.31,180
2019,90282.0,7.8,2.49,180
2009,199900.0,13.36,4.16,180
2020,12554434.0,11.66,3.59,180
2002,14900.0,5.0,2.1,180
2014,69000.0,7.25,2.57,180
2004,69700.0,11.25,3.54,180
2018,3300.0,4.35,1.73,180
1988,60000.0,11.45,2.44,180
2019,82560.0,6.7,2.48,180
2008,78000.0,9.96,3.45,180
1998,139000.0,10.98,3.1,180
2006,155000.0,12.0,4.0,179
2009,45000.0,8.0,2.0,179
2012,452356.5,16.61,4.45,179
1990,69900.0,11.4,3.75,179
2007,77000.0,9.36,3.2,179
2001,95656.5,12.65,3.68,179
1965,82500.0,14.35,4.15,179
2018,545000.0,13.82,4.06,179
2020,34944.0,5.73,2.29,179
2019,225000.0,10.8,3.59,179
1996,125000.0,14.78,3.25,179
2019,127190.4,7.48,2.54,179
2017,585000.0,14.95,4.25,179
2001,490000.0,20.06,5.45,179
2020,65990.0,8.23,2.79,179
1976,47520.0,10.9,3.45,179
2018,139000.0,9.99,3.49,179
2020,10999.0,5.2,2.22,179
1978,44900.0,7.54,2.9,178
2010,495000.0,17.6,4.63,178
2008,34990.0,7.1,2.55,178
2012,105000.0,8.88,3.1,178
1998,85000.0,9.99,3.5,178
1994,55000.0,9.81,3.6,178
2018,39900.0,6.06,2.2,178
2008,60000.0,7.5,2.9,178
2008,49900.0,7.23,2.59,178
2005,115000.0,15.4,3.0,178
1994,17800.0,6.99,2.81,178
2015,8695650.0,40.23,7.83,178
2015,260000.0,13.29,3.97,178
2020,274000.0,11.4,3.5,178
2015,6900000.0,39.8,8.5,178
2017,2850000.0,20.45,10.5,178
1993,5250.0,4.5,1.9,178
2002,129000.0,12.65,4.22,177
1980,19500.0,10.8,3.3,177
2019,128974.0,9.15,2.98,177
2017,14999.0,3.4,1.18,177
2020,12062074.0,11.66,3.59,177
2008,58000.0,8.6,3.0,177
2004,219900.0,14.76,4.2,177
2020,57950.0,7.75,2.55,177
2020,315665.0,9.99,2.99,177
2019,67104.0,7.8,2.73,177
1993,49500.0,12.0,3.85,177
2007,260000.0,14.99,4.2,177
2009,70000.0,8.5,3.2,177
2002,34900.0,8.44,2.97,177
1973,12500.0,8.5,3.1,177
1995,149000.0,15.66,4.4,177
1971,24990.0,11.0,3.5,177
2019,59900.0,6.3,2.5,177
1992,21120.0,7.63,2.5,176
2019,107000.0,9.35,2.99,176
2020,69120.0,7.15,2.45,176
1985,23990.0,7.4,2.55,176
1990,10500.0,5.9,2.15,176
1988,998500.0,36.0,7.02,176
2020,24930.0,6.1,2.4,176
2019,459000.0,12.5,3.85,176
2020,45600.0,6.5,2.38,176
2012,135000.0,10.8,3.5,176
2020,142500.0,9.19,3.1,176
2004,59000.0,8.53,2.89,176
2001,70000.0,11.45,3.8,176
2020,115900.0,7.89,2.59,176
2019,80112.0,6.8,2.4,176
2006,67000.0,10.25,3.2,176
1995,50000.0,11.43,3.66,176
2017,1650000.0,17.8,5.13,176
2020,30499.0,7.23,2.55,176
2020,42499.0,7.88,2.55,176
2011,59500.0,7.3,3.0,175
2009,198000.0,11.92,3.89,175
1998,11000.0,6.13,2.39,175
1995,10000.0,7.02,2.52,175
1975,52900.0,11.2,3.5,175
2003,75000.0,8.0,2.0,175
2006,32500.0,7.6,2.5,175
2004,38000.0,8.85,2.84,175
2008,599000.0,21.1,5.4,175
2020,39637.44,4.8,2.2,175
1991,80000.0,14.63,4.57,175
2019,53049.0,7.85,2.8,175
2016,698000.0,15.88,4.66,175
2007,265000.0,13.8,4.25,175
2011,2190000.0,23.05,5.65,175
2000,29000.0,7.23,2.56,175
1993,14850.0,9.0,3.1,174
2020,13050.0,5.5,2.17,174
1966,265000.0,46.91,5.08,174
2017,18900.0,4.7,1.9,174
1994,99000.0,11.5,4.0,174
1980,60000.0,11.5,3.0,174
1974,19900.0,9.0,3.0,174
2008,57000.0,9.2,2.95,174
2009,215000.0,11.98,4.16,174
1992,49500.0,10.9,3.55,174
2020,1839768.0,17.2,4.85,174
2019,10487.0,2.79,1.18,174
2011,179424.0,10.7,3.4,174
1999,175000.0,18.45,4.4,174
2019,13900.0,5.65,2.35,174
1997,69900.0,10.1,3.2,174
1972,14990.0,7.4,3.1,174
1967,47520.0,5.6,2.05,174
2015,849000.0,17.65,5.01,174
2014,1695000.0,20.82,5.45,173
1996,1484540.0,6.82,2.68,173
2007,82000.0,9.21,3.56,173
1992,11000.0,7.8,2.59,173
2019,27744.0,4.98,2.0,173
2008,139900.0,11.95,3.99,173
2021,164790.0,11.16,3.49,173
2018,285000.0,12.29,4.2,173
2019,92160.0,6.8,2.35,173
2009,228000.0,11.8,3.0,173
2020,47414.4,6.55,2.54,173
2001,69000.0,11.21,3.49,173
1905,31000.0,17.03,3.56,173
2005,8500.0,5.3,2.33,173
1955,4999.0,9.0,3.0,173
1980,24900.0,10.6,3.0,173
2019,115000.0,9.18,2.95,173
2007,69120.0,8.17,2.6,173
1976,60000.0,13.1,4.0,173
2020,248800.0,9.97,3.0,173
1988,60000.0,11.6,3.96,173
1972,35000.0,6.5,2.3,172
2003,50000.0,10.4,3.11,172
2008,55500.0,9.2,2.95,172
2014,160000.0,10.8,3.59,172
2009,1950000.0,27.89,6.34,172
1987,2819880.0,9.1,3.05,172
2006,38000.0,7.36,2.55,172
1992,35000.0,9.95,3.15,172
2012,2900000.0,26.44,6.3,172
1999,34800.0,7.0,2.6,172
2001,219000.0,16.13,4.44,172
2019,1087495.65,18.24,4.7,172
2020,31584.0,6.3,2.1,172
2006,11520.0,7.0,1.8,172
2019,38840.64,6.06,2.2,172
1994,22900.0,6.57,2.43,172
1994,38500.0,8.45,2.85,172
1995,16900.0,5.7,2.8,172
2019,999000.0,16.0,4.65,172
1993,21000.0,8.4,2.86,172
2008,300000.0,12.68,2.44,172
1992,56000.0,11.2,3.2,172
2003,55680.0,7.4,2.5,172
2018,250000.0,11.99,3.75,172
2019,14200.0,6.35,2.45,172
2005,65000.0,10.6,3.53,172
2017,249000.0,10.31,3.5,172
2016,329000.0,13.9,4.28,172
2020,355000.0,12.0,4.0,171
2004,110000.0,12.5,4.0,171
2020,57158.4,6.82,2.45,171
1961,3357000.0,7.5,2.3,171
2009,499999.0,16.0,4.9,171
2005,350000.0,15.23,4.38,171
2020,111350.0,8.9,2.84,171
2019,22365080.0,11.49,3.59,171
1997,23000.0,9.0,2.0,171
2012,890000.0,18.61,4.83,171
2020,60758.4,6.49,2.49,171
2017,39900.0,6.0,2.55,171
2016,33900.0,7.0,2.55,171
2019,2355115.23,22.82,5.38,171
1995,89000.0,12.12,3.99,171
1969,39000.0,10.0,3.45,171
1995,29900.0,8.5,2.95,171
2019,150000.0,10.0,3.0,171
2014,269000.0,13.22,4.41,171
2007,645000.0,20.0,5.18,171
2017,74700.0,12.0,3.3,171
2015,239040.0,12.7,3.99,171
2002,229000.0,13.78,4.14,171
2016,84900.0,7.95,2.92,170
2000,150000.0,13.9,4.28,170
2006,23000.0,6.98,2.59,170
1983,27000.0,9.54,3.08,170
1978,75000.0,8.17,2.43,170
2004,52000.0,9.8,3.2,170
2005,42000.0,8.56,2.87,170
2002,394000.0,22.23,5.6,170
2011,67900.0,8.95,2.99,170
2020,35500.0,5.25,2.09,170
2007,125000.0,11.35,3.84,170
1993,54500.0,9.45,3.45,170
2020,60040.0,6.55,2.54,170
2010,1250000.0,20.04,5.45,170
1995,79000.0,14.7,4.5,170
1998,109500.0,10.1,3.45,170
2005,135000.0,11.0,3.0,170
2001,25000.0,7.38,2.62,170
2003,120000.0,13.68,4.3,170
2018,210720.0,8.6,2.6,170
2014,17000.0,6.15,2.42,170
1990,42000.0,9.6,3.0,170
2019,45000.0,7.25,2.5,170
2020,6250.0,4.85,1.9,169
2010,840000.0,9.14,4.99,169
2017,33000.0,6.71,2.54,169
2000,790000.0,26.82,6.23,169
2005,16000.0,6.22,2.44,169
1999,53000.0,10.6,3.5,169
2020,44870.4,5.65,2.35,169
2020,22200.0,6.13,2.45,169
2008,45000.0,8.74,2.59,169
2003,10990.0,4.7,2.3,169
2008,6706540.0,14.0,3.96,169
2001,200000.0,14.7,4.2,169
1999,215000.0,15.9,4.47,169
2019,199000.0,11.5,4.5,169
2010,64000.0,10.4,3.45,169
2011,10900.0,5.0,2.2,169
2009,100000.0,9.95,3.5,169
1997,28500.0,8.69,3.0,169
2017,225000.0,10.07,3.25,169
2014,490000.0,14.99,4.65,169
2000,90000.0,13.2,4.2,169
2020,74990.0,7.99,2.54,169
2007,279000.0,14.78,3.99,169
2020,9552.0,3.55,2.0,169
1996,34000.0,8.66,2.96,169
1992,65000.0,14.0,4.45,169
2020,159900.0,10.45,3.37,169
1996,25000.0,8.22,2.99,169
2019,16319.04,5.0,1.96,168
1998,99000.0,13.62,4.43,168
1999,71500.0,10.09,3.3,168
2021,71900.0,7.15,2.54,168
2017,459000.0,13.86,4.25,168
1994,57000.0,13.49,4.27,168
2004,197000.0,13.0,4.0,168
1969,15950.0,4.0,1.6,168
1978,12480.0,5.3,2.1,168
2017,499000.0,13.25,4.16,168
2021,119631.36,7.4,2.6,168
2020,109100.0,12.0,4.2,168
1989,62495.0,10.4,3.55,168
2010,4800000.0,38.4,7.55,168
2013,43104.0,6.15,2.27,168
2014,282750.0,12.4,3.87,168
2013,339000.0,12.9,3.87,168
2003,74500.0,10.6,3.5,168
2020,19500.0,6.2,2.18,168
2013,45000.0,7.0,2.0,168
2004,44000.0,7.7,2.85,168
2006,199000.0,16.46,4.3,167
1979,30900.0,10.0,3.5,167
2017,119000.0,12.0,5.5,167
1990,79000.0,11.5,3.6,167
1998,1678500.0,6.7,2.55,167
2020,16025000.0,43.3,8.2,167
1999,75000.0,10.0,3.46,167
1987,25900.0,8.26,2.57,167
2020,28704.0,5.3,2.14,167
2011,850000.0,20.15,5.23,167
1984,69500.0,12.0,3.85,167
1995,65000.0,12.6,3.8,167
1986,39000.0,11.3,3.96,167
2008,21500.0,6.53,2.59,167
1974,30000.0,11.81,3.7,167
1993,66500.0,11.2,3.45,167
2020,20635.2,5.5,2.15,167
2015,36000.0,6.55,2.54,167
2020,33561.6,6.05,2.49,167
2020,1391400.0,18.52,4.85,167
2020,44000.0,9.0,2.72,167
1976,40000.0,13.4,4.22,167
1988,19500.0,6.5,2.4,167
1994,55584.0,8.0,2.6,167
2010,175000.0,12.64,3.95,167
2019,69900.0,7.1,2.59,167
2018,201600.0,8.13,2.59,167
1955,98000.0,19.23,5.5,167
2003,48900.0,8.94,2.82,167
2018,1150000.0,17.21,4.87,166
1995,99500.0,16.61,4.57,166
1993,34000.0,9.2,3.0,166
2020,34080.0,7.0,2.48,166
2020,73824.0,7.6,2.53,166
2005,29000.0,7.8,2.56,166
2018,57900.0,6.99,6.96,166
2008,469000.0,18.41,4.98,166
2005,130000.0,12.66,4.15,166
2020,129120.0,7.48,2.56,166
1987,60000.0,10.34,3.75,166
2018,8600.0,5.3,2.2,166
2014,109000.0,9.15,2.98,166
1965,155000.0,17.15,3.5,166
2018,37440.0,7.5,2.5,166
1996,149000.0,14.94,3.29,166
2020,66720.0,6.95,2.55,166
2012,695000.0,16.12,4.61,166
1991,39900.0,10.36,3.21,166
2017,153600.0,6.5,2.15,166
2008,60000.0,11.0,3.2,166
2005,129000.0,9.98,3.56,166
2019,31830.0,5.2,2.1,166
1956,75000.0,19.99,4.95,166
2008,43000.0,8.0,2.0,166
2019,663940.0,4.0,1.0,166
2018,165000.0,12.0,4.0,166
1997,10900.0,5.0,2.0,166
2018,51015.0,7.46,2.55,166
2010,2950000.0,28.0,6.75,166
1999,99000.0,10.6,3.65,166
2016,10955010.0,10.94,3.31,166
2006,120000.0,6.5,2.15,166
2020,3960000.0,25.15,5.76,166
1999,120000.0,12.06,4.04,165
1983,12500.0,7.2,2.85,165
2003,29000.0,8.25,2.89,165
1995,19900.0,7.83,2.58,165
2007,25900.0,6.7,2.5,165
2006,33000.0,7.62,2.56,165
1976,32000.0,12.5,4.26,165
2018,8500.0,5.3,2.2,165
2008,680000.0,16.65,4.9,165
2004,65000.0,10.17,3.26,165
1982,14990.0,7.75,2.66,165
1965,44500.0,12.0,3.7,165
2020,13800.0,5.5,2.17,165
2020,9896436.0,10.94,3.31,165
2020,51175.0,6.45,2.45,164
1982,23500.0,9.3,3.0,164
1993,64500.0,11.05,3.49,164
2019,250376.64,9.16,2.87,164
1993,94080.0,7.56,2.31,164
1997,64850.0,9.45,3.51,164
2018,31420.8,6.03,1.9,164
1993,360000.0,23.0,5.6,164
2020,49000.0,7.4,2.45,164
2019,66500.0,9.26,3.0,164
1989,38000.0,10.44,3.7,164
2017,2950000.0,20.45,10.5,164
1984,64800.0,12.25,3.7,164
2020,39000.0,6.05,2.32,164
2020,44999.0,6.4,2.46,164
2019,249900.0,10.0,2.78,164
1984,17490.0,7.0,2.0,164
1992,54900.0,11.2,3.16,164
2019,49949.0,7.48,2.53,164
2020,97625.0,7.3,2.5,163
1997,150000.0,15.23,4.3,163
2017,24864.0,4.72,2.05,163
1957,139500.0,27.8,6.71,163
1999,155000.0,15.0,4.0,163
2003,54900.0,9.2,3.0,163
1995,37990.0,8.2,2.75,163
2020,1208520.0,5.0,2.0,163
