Year Built,Price_Eur,Length,Width,N. views last 7d
1956,33600.0,9.0,2.8,423
2015,77500.0,6.1,2.49,423
2017,44640.0,6.88,2.49,423
1999,25000.0,9.0,3.0,423
2021,139200.0,8.9,2.99,422
2000,11000.0,6.0,2.4,422
1988,76800.0,12.0,3.55,422
1988,23520.0,7.28,2.54,422
2015,38000.0,7.47,2.51,422
2008,460800.0,10.3,2.98,422
2006,35000.0,9.6,3.2,421
1980,6990.0,8.6,2.6,421
2000,114900.0,13.0,3.0,421
1992,24000.0,8.35,2.5,420
2008,187200.0,14.98,4.36,420
1992,490000.0,29.57,6.03,420
1975,31000.0,11.5,3.2,419
2007,23500000.0,56.0,10.4,419
2011,47040.0,7.23,2.78,419
2014,1499000.0,16.8,4.88,419
1985,24995.0,11.8,3.25,418
2020,297115.0,9.99,3.3,418
1984,9984.0,6.0,2.3,418
2014,41000.0,6.4,2.59,418
1991,21500.0,9.32,2.59,417
1975,19550.0,10.5,3.2,417
1976,23520.0,9.3,3.4,417
2020,578600.0,13.82,4.06,417
1988,62400.0,11.2,3.22,415
1993,21120.0,7.6,2.47,415
1981,33600.0,9.05,3.5,414
2018,265000.0,9.99,2.98,413
2004,519000.0,16.12,4.57,413
1991,19104.0,7.5,2.5,413
1995,66900.0,8.45,2.85,413
1997,4320.0,3.72,1.33,413
1959,158400.0,6.52,2.16,413
1990,110400.0,6.8,2.35,411
2014,240000.0,10.12,3.46,410
2020,16558.079999999998,4.45,1.85,410
2020,121500.0,12.6,4.4,410
2006,155000.0,10.35,4.4,410
2020,18720.0,4.99,2.06,409
2015,177600.0,9.99,2.97,409
1991,2051500.0,10.0,3.27,409
2012,269000.0,11.98,3.75,408
2014,40000.0,6.19,2.48,408
2003,283200.0,13.9,4.3,408
2003,16500.0,6.4,2.57,406
1996,91200.0,10.15,3.37,406
2005,35000.0,6.7,2.5,405
1985,16900.0,8.04,3.06,405
1999,98000.0,11.8,3.8,405
2005,37000.0,8.1,2.55,404
2011,170000.0,14.99,4.41,404
2004,33000.0,8.39,2.39,403
1995,37440.0,6.65,2.42,403
1990,59500.0,14.5,4.26,403
2019,412800.0,8.85,2.78,402
2014,780000.0,16.4,4.5,402
2003,57120.0,8.75,2.83,402
1995,90000.0,11.0,3.0,401
2016,67200.0,7.6,2.5,401
2020,19104.0,5.0,1.9,401
1993,23904.0,7.2,2.5,400
1964,82560.0,6.5,2.35,399
2020,16704.0,6.4,2.25,399
2011,329000.0,13.9,4.35,398
2021,1250000.0,19.9,9.0,398
1980,19900.0,7.85,2.8,398
1989,33504.0,7.9,2.6,398
1970,38000.0,15.0,4.11,397
1978,63360.0,8.5,3.3,397
1980,119520.0,6.5,2.3,397
1997,85000.0,11.4,3.76,397
1999,88800.0,10.5,3.35,397
2003,14352.0,5.46,2.38,397
2018,235000.0,11.9,3.9,397
1974,4900.0,5.2,2.1,396
1991,32500.0,9.95,2.74,396
1985,80000.0,6.65,2.25,396
2019,22080.0,6.6,2.47,394
1967,195000.0,22.0,5.8,394
1987,17000.0,12.7,2.9,394
2009,29000.0,7.01,2.5,393
2016,9504.0,5.1,1.9,393
1992,3500.0,4.36,1.74,393
1997,137280.0,11.51,4.03,392
2017,99000.0,8.15,2.55,392
1996,6000.0,5.3,2.2,392
1985,12000.0,6.5,2.36,392
2008,79584.0,10.5,3.1,392
2013,115000.0,13.8,4.6,391
1996,15000.0,7.32,2.45,391
2000,5472.0,4.15,1.67,389
2004,45000.0,9.25,3.1,389
2018,27000.0,6.81,2.36,389
1991,14500.0,7.6,2.5,389
2005,11500.0,5.64,2.13,389
1997,319000.0,19.46,5.28,389
2002,49950.0,8.17,2.62,388
2017,264000.0,8.21,2.5,388
2015,47904.0,6.64,2.55,387
1995,16800.0,7.2,2.57,387
1989,14400.0,6.92,2.59,387
1985,18600.0,7.0,2.6,387
2013,161280.0,9.67,3.35,386
1997,7000.0,6.12,2.46,385
1990,6240.0,5.55,1.6,385
1987,47800.0,11.6,3.96,385
2001,29760.0,6.1,2.3,385
1989,56640.0,10.9,3.75,385
1984,16224.0,7.55,2.8,384
1978,11900.0,9.3,3.35,384
2019,325000.0,12.0,3.75,384
2002,92160.0,9.39,2.95,383
2010,150000.0,10.4,3.45,383
2017,129000.0,6.25,2.4,383
1974,20500.0,10.5,3.2,383
1985,3900.0,6.53,2.47,383
1992,59950.0,10.35,3.5,383
1987,35000.0,11.5,3.65,382
1986,16320.0,7.86,2.59,382
1999,1641200.0,8.75,2.85,382
2006,26900.0,5.79,2.39,382
2015,53568.0,7.7,2.78,381
2020,69120.0,7.23,2.55,381
2003,45000.0,8.7,2.6,381
2005,68000.0,9.6,3.0,380
1989,49920.0,9.0,3.12,380
2017,312000.0,11.33,3.5,380
2015,100000.0,6.55,2.59,380
2020,6300.0,5.0,2.05,379
2017,265000.0,13.29,3.99,379
1991,89000.0,11.7,3.5,378
2006,439000.0,19.86,5.25,378
2003,26000.0,7.47,2.59,378
1966,29500.0,8.4,2.5,377
1992,27900.0,8.78,2.75,377
1971,13800.0,9.95,2.85,376
1978,12000.0,6.55,2.42,376
1996,19900.0,6.16,2.29,375
